num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.646668,0.125704,0.500000,0.000000
10,15,0.437005,0.317455,0.560000,0.380876
8,33,0.381875,0.244145,0.175758,0.578415
11,2,0.319747,0.115803,0.000000,0.800000
9,8,0.288344,0.129072,0.787500,0.033072
7,46,0.253614,0.228947,0.380435,0.497655
5,470,0.137562,0.198954,0.355745,0.456722
3,3358,0.134111,0.229620,0.301608,0.459966
6,235,0.124426,0.180725,0.214894,0.521201
2,6349,0.116984,0.239444,0.312947,0.461822
4,1557,0.104775,0.183199,0.270546,0.468577
1,13844,0.008812,0.022196,0.336914,0.507580
