ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.862864,0.193939,0.200000,0.326599,2.588593,0.862227
APH,2,0.840169,0.159831,0.400000,0.300000,1.680337,0.839755
TROW,8,0.820543,0.243980,0.400000,0.287228,6.564344,0.818927
GL,5,0.800000,0.244980,0.340000,0.162481,4.000000,0.799015
ZBRA,3,0.783399,0.153533,0.733333,0.047140,2.350196,0.782820
VRSN,4,0.781077,0.221505,0.425000,0.129904,3.124308,0.780308
ROP,2,0.774588,0.225412,0.200000,0.700000,1.549177,0.774207
MKTX,7,0.756339,0.225432,0.257143,0.159079,5.294376,0.755036
LOW,6,0.740344,0.217952,0.200000,0.374166,4.442067,0.739251
AKAM,17,0.736500,0.253112,0.276471,0.338734,12.520495,0.733417
AZO,3,0.726675,0.193277,0.000000,0.355903,2.180024,0.726138
MSI,2,0.702234,0.033892,-0.050000,0.650000,1.404467,0.701888
KMX,3,0.700408,0.211844,-0.433333,0.659966,2.101224,0.699891
PRU,13,0.699773,0.202143,0.415385,0.367625,9.097043,0.697532
INTU,19,0.684655,0.233093,0.207895,0.478557,13.008454,0.681452
IT,15,0.663580,0.281270,0.073333,0.490533,9.953696,0.661129
TJX,6,0.627993,0.304643,0.333333,0.402768,3.767957,0.627065
TPR,4,0.619521,0.121733,0.550000,0.229129,2.478084,0.618911
ORLY,2,0.616021,0.151936,0.300000,0.200000,1.232043,0.615718
FI,3,0.604526,0.287789,0.066667,0.188562,1.813578,0.604079
ADSK,18,0.600471,0.262165,0.338889,0.521897,10.808476,0.597809
MCO,17,0.568583,0.259061,0.405882,0.363756,9.665906,0.566203
STX,4,0.566763,0.272110,0.450000,0.229129,2.267052,0.566205
BKNG,32,0.563212,0.339862,0.315625,0.481605,18.022779,0.558774
NTAP,11,0.554775,0.278135,0.490909,0.435795,6.102526,0.553272
ANSS,16,0.529085,0.349256,0.593750,0.349050,8.465367,0.527001
POOL,2,0.527586,0.003886,0.800000,0.000000,1.055172,0.527326
SPGI,7,0.513737,0.218823,0.471429,0.376883,3.596161,0.512852
