cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,65,3,16,25.0,23
1,8,470,7,42,9.0,34
2,367,1186,14,45,47.0,42
3,2,12,1,11,19.0,30
4,1285,1827,18,280,52.0,54
5,1,8,1,2,32.0,2
6,122,360,51,24,44.0,35
7,2,6,0,3,11.0,27
8,0,10,0,1,,12
9,132,107,4,43,49.0,28
10,23,671,296,806,42.0,52
11,0,9,0,2,,25
12,1,2,0,1,23.0,13
13,3,10,8,0,15.0,10
14,4,25,1,9,35.0,14
15,8,484,2,32,26.0,48
16,2,52,5,32,4.0,39
17,27,1054,38,285,28.0,50
18,0,16,0,1,,31
19,3,6,0,9,41.0,19
20,4,25,0,8,18.0,21
21,1,6,0,6,38.0,8
22,3,260,4,14,6.0,51
23,3,45,1,28,37.0,24
24,1,86,0,6,24.0,33
25,4,22,4,3,20.0,3
26,3,10,3,0,13.0,18
27,1,38,0,0,1.0,32
28,2,29,0,4,14.0,20
29,10,148,7,22,10.0,22
30,4,4,0,5,40.0,26
31,1,18,3,1,33.0,17
32,214,379,10,271,45.0,46
33,5,144,1,6,34.0,29
34,110,2285,22,123,29.0,53
35,0,1,1,0,3.0,60
36,2,19,3,4,5.0,7
37,6,275,129,8,46.0,47
38,38,44,3,8,36.0,6
39,711,11,2,0,54.0,44
40,5,292,3,4,21.0,49
41,0,5,0,0,,1
42,2,31,3,64,12.0,36
43,4,4,6,3,16.0,5
44,0,9,0,3,,58
45,2,9,1,0,7.0,15
46,4,61,2,1,8.0,45
47,5,82,6,13,17.0,37
48,106,53,173,1,51.0,38
49,3,10,0,4,30.0,4
50,71,1542,0,1,50.0,59
51,5,644,3,26,2.0,40
52,293,6,0,154,53.0,56
53,118,1815,19,2232,27.0,55
54,3,85,1,0,22.0,57
55,17,37,58,5,31.0,9
56,0,3,0,0,,16
57,3,20,0,3,39.0,11
58,1,29,0,2,43.0,43
59,376,919,80,228,48.0,41
