num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.638008,0.130470,0.500000,0.000000
10,15,0.426103,0.322385,0.560000,0.380876
8,33,0.378605,0.242348,0.175758,0.578415
11,2,0.307973,0.117733,0.000000,0.800000
9,8,0.296459,0.122569,0.787500,0.033072
7,46,0.250269,0.223231,0.380435,0.497655
5,470,0.137613,0.198671,0.355745,0.456722
3,3358,0.134210,0.229738,0.301608,0.459966
6,235,0.124916,0.181245,0.214894,0.521201
2,6349,0.117694,0.239797,0.312947,0.461822
4,1557,0.104573,0.182328,0.270546,0.468577
1,13844,0.008936,0.022497,0.336914,0.507580
