num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.640081,0.128338,0.500000,0.000000
10,15,0.435126,0.316518,0.560000,0.380876
8,33,0.388063,0.240995,0.175758,0.578415
11,2,0.323654,0.112848,0.000000,0.800000
9,8,0.298364,0.123698,0.787500,0.033072
7,46,0.250796,0.221643,0.380435,0.497655
5,470,0.138312,0.199266,0.355745,0.456722
3,3358,0.133930,0.229693,0.301608,0.459966
6,235,0.125221,0.180473,0.214894,0.521201
2,6349,0.117245,0.239609,0.312947,0.461822
4,1557,0.104958,0.182995,0.270546,0.468577
1,13844,0.008835,0.022250,0.336914,0.507580
