cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,94,0,18,,32
1,6,470,4,46,3.0,36
2,14,1200,1,401,9.0,45
3,1,10,1,12,11.0,29
4,111,1790,4,1451,41.0,56
5,0,11,0,3,,7
6,4,364,51,142,26.0,42
7,0,9,0,5,,24
8,0,11,0,1,,13
9,127,110,1,47,45.0,27
10,19,808,163,811,39.0,52
11,0,9,0,2,,25
12,0,4,0,2,,20
13,1,17,12,2,22.0,9
14,3,22,0,10,36.0,11
15,3,484,0,38,17.0,47
16,1,58,1,33,19.0,33
17,14,1052,7,291,12.0,50
18,0,15,0,1,,28
19,2,7,0,9,37.0,17
20,3,26,0,10,15.0,23
21,1,6,0,6,34.0,5
22,1,262,2,15,18.0,49
23,1,91,0,29,33.0,40
24,3,89,1,6,27.0,37
25,2,24,2,4,20.0,2
26,3,11,3,1,8.0,18
27,0,38,0,1,,30
28,1,34,0,6,25.0,19
29,2,153,1,29,5.0,21
30,4,4,0,5,30.0,26
31,0,19,1,2,24.0,16
32,207,380,6,279,40.0,46
33,3,145,0,9,32.0,31
34,24,2296,11,210,13.0,53
35,0,22,0,0,,58
36,2,22,4,4,6.0,8
37,4,403,2,10,21.0,51
38,4,44,2,43,10.0,14
39,711,11,0,0,46.0,22
40,6,292,3,4,16.0,48
41,0,4,0,0,,1
42,0,36,0,66,,34
43,1,9,0,6,29.0,4
44,0,10,0,3,,57
45,2,8,1,0,4.0,10
46,2,62,0,1,2.0,43
47,5,89,0,14,7.0,35
48,105,53,172,2,43.0,38
49,1,10,0,6,47.0,3
50,70,1542,0,3,42.0,60
51,1,655,1,33,1.0,39
52,0,6,0,447,,59
53,99,1802,8,2253,23.0,54
54,3,85,1,0,14.0,55
55,6,43,30,9,38.0,6
56,0,3,1,0,28.0,15
57,3,21,0,3,35.0,12
58,1,29,0,3,31.0,44
59,369,1000,1,235,44.0,41
