cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,65,0,14,34.0,23
1,7,473,4,45,3.0,35
2,363,1194,10,50,46.0,43
3,2,10,1,8,18.0,27
4,1282,1791,3,281,52.0,54
5,1,9,1,2,32.0,4
6,6,361,49,140,30.0,42
7,2,8,0,3,8.0,28
8,0,9,0,1,,11
9,129,113,4,47,49.0,30
10,19,775,161,810,44.0,51
11,0,10,0,2,,26
12,1,3,0,1,19.0,20
13,3,14,14,0,16.0,17
14,3,21,0,10,43.0,10
15,6,478,1,29,17.0,47
16,2,55,1,32,12.0,33
17,30,1084,31,295,22.0,49
18,0,16,0,1,,29
19,3,8,2,8,38.0,19
20,4,27,0,9,20.0,22
21,1,8,0,6,41.0,8
22,3,260,3,12,7.0,52
23,2,91,1,27,35.0,39
24,3,88,1,6,29.0,34
25,4,23,3,3,24.0,2
26,3,8,3,0,10.0,13
27,0,38,0,1,,32
28,1,32,0,4,27.0,18
29,5,147,4,26,5.0,25
30,5,3,0,5,39.0,24
31,1,16,4,1,33.0,14
32,214,388,9,270,45.0,45
33,3,140,0,6,26.0,31
34,109,2293,12,126,25.0,53
35,0,1,21,0,50.0,60
36,2,22,5,3,9.0,6
37,2,398,2,10,6.0,50
38,38,43,2,8,36.0,5
39,711,11,0,0,53.0,21
40,5,288,3,4,14.0,48
41,0,4,0,0,,1
42,1,53,1,65,31.0,38
43,4,6,4,3,13.0,12
44,0,9,0,3,,57
45,2,8,1,0,4.0,9
46,2,61,2,1,1.0,46
47,5,80,3,12,11.0,36
48,103,52,170,1,51.0,37
49,3,10,0,4,23.0,3
50,72,1541,0,1,47.0,59
51,4,641,3,29,2.0,40
52,0,6,0,447,,58
53,115,1828,11,2241,21.0,55
54,3,85,1,0,15.0,56
55,11,42,32,6,28.0,7
56,0,3,1,0,37.0,16
57,3,23,0,3,40.0,15
58,1,26,0,2,42.0,44
59,375,995,3,233,48.0,41
