ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.861293,0.196161,0.200000,0.326599,2.583880,0.860657
TROW,8,0.822420,0.240889,0.400000,0.287228,6.579364,0.820800
APH,2,0.818623,0.181377,0.400000,0.300000,1.637247,0.818220
GL,5,0.800000,0.245260,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.785799,0.217351,0.425000,0.129904,3.143196,0.785025
ZBRA,3,0.779849,0.156023,0.733333,0.047140,2.339548,0.779273
ROP,2,0.764273,0.235727,0.200000,0.700000,1.528545,0.763896
MKTX,7,0.755409,0.227620,0.257143,0.159079,5.287866,0.754107
LOW,6,0.751939,0.214979,0.200000,0.374166,4.511635,0.750828
AKAM,17,0.738581,0.249840,0.276471,0.338734,12.555883,0.735490
AZO,3,0.737336,0.186357,0.000000,0.355903,2.212007,0.736791
MSI,2,0.725545,0.071400,-0.050000,0.650000,1.451090,0.725188
KMX,3,0.706142,0.207789,-0.433333,0.659966,2.118426,0.705620
PRU,13,0.700209,0.202492,0.415385,0.367625,9.102711,0.697967
INTU,19,0.684920,0.233553,0.207895,0.478557,13.013488,0.681716
IT,15,0.665673,0.279939,0.073333,0.490533,9.985093,0.663214
ORLY,2,0.628172,0.115485,0.300000,0.200000,1.256344,0.627862
TJX,6,0.623943,0.302937,0.333333,0.402768,3.743656,0.623021
TPR,4,0.613017,0.116136,0.550000,0.229129,2.452070,0.612414
FI,3,0.606545,0.289482,0.066667,0.188562,1.819635,0.606097
ADSK,18,0.598436,0.264316,0.338889,0.521897,10.771839,0.595783
STX,4,0.579345,0.256130,0.450000,0.229129,2.317378,0.578774
MCO,17,0.562583,0.265332,0.405882,0.363756,9.563919,0.560228
BKNG,32,0.562045,0.336096,0.315625,0.481605,17.985441,0.557616
NTAP,11,0.543937,0.281830,0.490909,0.435795,5.983310,0.542464
POOL,2,0.532255,0.003156,0.800000,0.000000,1.064510,0.531993
ANSS,16,0.530717,0.347269,0.593750,0.349050,8.491474,0.528626
SPGI,7,0.515050,0.218934,0.471429,0.376883,3.605349,0.514162
