cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,9,3,12,12.857142857142856,2.5,5.142857142857142
5,22,16,38,31.428571428571427,13.333333333333334,2.3571428571428568
54,8,6,14,11.428571428571429,5.0,2.2857142857142856
12,9,8,17,12.857142857142856,6.666666666666667,1.9285714285714284
8,16,15,31,22.857142857142858,12.5,1.8285714285714285
43,17,16,33,24.285714285714285,13.333333333333334,1.8214285714285712
46,32,33,65,45.714285714285715,27.500000000000004,1.6623376623376622
39,28,29,57,40.0,24.166666666666668,1.6551724137931034
25,39,43,82,55.714285714285715,35.833333333333336,1.5548172757475083
19,19,21,40,27.142857142857142,17.5,1.5510204081632653
13,25,29,54,35.714285714285715,24.166666666666668,1.477832512315271
24,25,29,54,35.714285714285715,24.166666666666668,1.477832512315271
38,44,55,99,62.857142857142854,45.83333333333333,1.3714285714285714
22,39,49,88,55.714285714285715,40.833333333333336,1.3644314868804663
55,36,46,82,51.42857142857142,38.333333333333336,1.341614906832298
23,46,59,105,65.71428571428571,49.166666666666664,1.3365617433414043
20,29,39,68,41.42857142857143,32.5,1.2747252747252749
40,45,61,106,64.28571428571429,50.83333333333333,1.2646370023419207
7,18,25,43,25.71428571428571,20.833333333333336,1.234285714285714
28,26,37,63,37.142857142857146,30.833333333333336,1.2046332046332047
10,59,84,143,84.28571428571429,70.0,1.2040816326530612
0,47,67,114,67.14285714285714,55.833333333333336,1.2025586353944562
36,37,53,90,52.85714285714286,44.166666666666664,1.1967654986522913
47,41,59,100,58.57142857142858,49.166666666666664,1.1912832929782085
34,59,89,148,84.28571428571429,74.16666666666667,1.1364365971107544
59,47,71,118,67.14285714285714,59.166666666666664,1.1348088531187122
37,50,76,126,71.42857142857143,63.33333333333333,1.1278195488721805
32,65,99,164,92.85714285714286,82.5,1.1255411255411256
9,63,97,160,90.0,80.83333333333333,1.1134020618556701
53,68,106,174,97.14285714285714,88.33333333333333,1.0997304582210243
1,50,79,129,71.42857142857143,65.83333333333333,1.08499095840868
48,15,24,39,21.428571428571427,20.0,1.0714285714285714
33,40,65,105,57.14285714285714,54.166666666666664,1.054945054945055
27,8,13,21,11.428571428571429,10.833333333333334,1.054945054945055
31,34,57,91,48.57142857142857,47.5,1.0225563909774436
49,13,22,35,18.571428571428573,18.333333333333332,1.012987012987013
4,56,95,151,80.0,79.16666666666666,1.0105263157894737
17,69,119,188,98.57142857142858,99.16666666666667,0.9939975990396159
16,19,33,52,27.142857142857142,27.500000000000004,0.9870129870129869
56,4,7,11,5.714285714285714,5.833333333333333,0.979591836734694
29,40,70,110,57.14285714285714,58.333333333333336,0.9795918367346937
2,54,96,150,77.14285714285715,80.0,0.9642857142857144
14,17,31,48,24.285714285714285,25.833333333333336,0.9400921658986174
51,40,74,114,57.14285714285714,61.66666666666667,0.9266409266409265
15,40,74,114,57.14285714285714,61.66666666666667,0.9266409266409265
21,18,34,52,25.71428571428571,28.333333333333332,0.907563025210084
58,17,33,50,24.285714285714285,27.500000000000004,0.883116883116883
50,22,43,65,31.428571428571427,35.833333333333336,0.8770764119601328
42,23,45,68,32.857142857142854,37.5,0.8761904761904761
44,28,55,83,40.0,45.83333333333333,0.8727272727272728
45,7,14,21,10.0,11.666666666666666,0.8571428571428572
3,19,38,57,27.142857142857142,31.666666666666664,0.8571428571428572
35,3,6,9,4.285714285714286,5.0,0.8571428571428571
41,4,8,12,5.714285714285714,6.666666666666667,0.8571428571428571
57,21,43,64,30.0,35.833333333333336,0.8372093023255813
26,14,29,43,20.0,24.166666666666668,0.8275862068965517
11,13,28,41,18.571428571428573,23.333333333333332,0.7959183673469389
18,18,39,57,25.71428571428571,32.5,0.7912087912087912
6,38,86,124,54.285714285714285,71.66666666666667,0.7574750830564784
52,10,25,35,14.285714285714285,20.833333333333336,0.6857142857142856
