num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.656586,0.127508,0.500000,0.000000
10,15,0.434563,0.318578,0.560000,0.380876
8,33,0.378890,0.239043,0.175758,0.578415
11,2,0.322950,0.116541,0.000000,0.800000
9,8,0.298586,0.119860,0.787500,0.033072
7,46,0.251623,0.220438,0.380435,0.497655
5,470,0.138573,0.199656,0.355745,0.456722
3,3358,0.133892,0.229337,0.301608,0.459966
6,235,0.125509,0.181897,0.214894,0.521201
2,6349,0.117450,0.239797,0.312947,0.461822
4,1557,0.104473,0.182679,0.270546,0.468577
1,13844,0.008956,0.022552,0.336914,0.507580
