cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,10,2,12,12.82051282051282,1.7857142857142856,7.17948717948718
5,24,14,38,30.76923076923077,12.5,2.4615384615384617
12,10,7,17,12.82051282051282,6.25,2.051282051282051
43,19,14,33,24.358974358974358,12.5,1.9487179487179487
54,8,6,14,10.256410256410255,5.357142857142857,1.9145299145299144
39,30,27,57,38.46153846153847,24.107142857142858,1.5954415954415957
8,16,15,31,20.51282051282051,13.392857142857142,1.5316239316239315
38,51,48,99,65.38461538461539,42.857142857142854,1.5256410256410258
28,32,31,63,41.02564102564102,27.67857142857143,1.4822167080231594
46,33,32,65,42.30769230769231,28.57142857142857,1.4807692307692308
25,41,41,82,52.56410256410257,36.607142857142854,1.4358974358974361
13,27,27,54,34.61538461538461,24.107142857142858,1.4358974358974357
22,43,45,88,55.12820512820513,40.17857142857143,1.3720797720797722
55,40,42,82,51.28205128205128,37.5,1.3675213675213673
23,51,54,105,65.38461538461539,48.214285714285715,1.3561253561253561
24,26,28,54,33.33333333333333,25.0,1.333333333333333
10,66,77,143,84.61538461538461,68.75,1.2307692307692308
16,24,28,52,30.76923076923077,25.0,1.2307692307692308
49,16,19,35,20.51282051282051,16.964285714285715,1.2091767881241564
40,48,58,106,61.53846153846154,51.78571428571429,1.1883289124668435
19,18,22,40,23.076923076923077,19.642857142857142,1.1748251748251748
34,66,82,148,84.61538461538461,73.21428571428571,1.155722326454034
37,56,70,126,71.7948717948718,62.5,1.1487179487179486
9,71,89,160,91.02564102564102,79.46428571428571,1.1454912129069432
7,19,24,43,24.358974358974358,21.428571428571427,1.1367521367521367
20,30,38,68,38.46153846153847,33.92857142857143,1.1336032388663968
59,52,66,118,66.66666666666666,58.92857142857143,1.131313131313131
47,44,56,100,56.41025641025641,50.0,1.1282051282051282
14,21,27,48,26.923076923076923,24.107142857142858,1.1168091168091168
48,17,22,39,21.794871794871796,19.642857142857142,1.1095571095571097
1,56,73,129,71.7948717948718,65.17857142857143,1.1015103617843343
53,75,99,174,96.15384615384616,88.39285714285714,1.087801087801088
0,49,65,114,62.82051282051282,58.03571428571429,1.0824457593688361
45,9,12,21,11.538461538461538,10.714285714285714,1.076923076923077
31,39,52,91,50.0,46.42857142857143,1.0769230769230769
21,22,30,52,28.205128205128204,26.785714285714285,1.052991452991453
36,38,52,90,48.717948717948715,46.42857142857143,1.0493096646942799
32,69,95,164,88.46153846153845,84.82142857142857,1.042914979757085
29,46,64,110,58.97435897435898,57.14285714285714,1.0320512820512822
41,5,7,12,6.41025641025641,6.25,1.0256410256410255
11,17,24,41,21.794871794871796,21.428571428571427,1.0170940170940173
42,28,40,68,35.8974358974359,35.714285714285715,1.005128205128205
17,77,111,188,98.71794871794873,99.10714285714286,0.9960729960729962
4,61,90,151,78.2051282051282,80.35714285714286,0.9732193732193731
50,26,39,65,33.33333333333333,34.82142857142857,0.9572649572649572
26,17,26,43,21.794871794871796,23.214285714285715,0.9388560157790927
2,59,91,150,75.64102564102564,81.25,0.9309664694280079
51,44,70,114,56.41025641025641,62.5,0.9025641025641026
18,22,35,57,28.205128205128204,31.25,0.9025641025641026
44,32,51,83,41.02564102564102,45.535714285714285,0.9009552538964303
33,40,65,105,51.28205128205128,58.03571428571429,0.8836291913214989
27,8,13,21,10.256410256410255,11.607142857142858,0.8836291913214989
56,4,7,11,5.128205128205128,6.25,0.8205128205128205
6,45,79,124,57.692307692307686,70.53571428571429,0.8179162609542355
58,18,32,50,23.076923076923077,28.57142857142857,0.8076923076923077
15,41,73,114,52.56410256410257,65.17857142857143,0.8064629434492449
57,22,42,64,28.205128205128204,37.5,0.7521367521367521
52,12,23,35,15.384615384615385,20.535714285714285,0.7491638795986623
35,3,6,9,3.8461538461538463,5.357142857142857,0.7179487179487181
3,18,39,57,23.076923076923077,34.82142857142857,0.6627218934911243
