cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,88,0,18,32.0,33
1,8,520,5,43,3.0,39
2,360,1192,10,53,45.0,42
3,2,12,1,9,17.0,29
4,178,1786,6,1378,43.0,58
5,1,9,1,2,31.0,4
6,4,383,49,141,27.0,43
7,1,9,0,4,7.0,26
8,0,12,0,1,,15
9,130,107,4,43,47.0,30
10,21,769,163,809,42.0,52
11,0,10,0,2,,27
12,0,5,0,3,,23
13,2,12,14,1,19.0,9
14,4,24,0,9,35.0,12
15,6,489,1,33,21.0,47
16,2,54,2,32,23.0,34
17,26,1046,35,290,20.0,49
18,0,13,0,1,,28
19,3,7,0,9,37.0,18
20,5,21,0,8,15.0,20
21,1,6,0,6,41.0,8
22,3,260,2,13,5.0,51
23,2,45,1,28,36.0,24
24,3,87,0,7,30.0,35
25,3,22,2,3,22.0,2
26,3,9,3,0,9.0,13
27,0,38,0,1,,32
28,1,32,0,7,29.0,19
29,8,152,4,23,8.0,22
30,5,4,0,5,38.0,25
31,1,17,3,1,28.0,14
32,214,380,9,271,44.0,45
33,3,145,0,6,25.0,31
34,32,2297,17,201,11.0,53
35,0,1,21,0,48.0,60
36,2,21,3,3,4.0,7
37,2,399,4,11,18.0,50
38,38,40,2,8,34.0,5
39,711,10,0,0,52.0,21
40,5,289,3,4,14.0,48
41,0,4,0,0,,1
42,2,33,1,64,6.0,37
43,4,8,4,3,10.0,10
44,0,10,0,3,,57
45,2,8,1,0,2.0,11
46,2,61,2,2,1.0,46
47,5,90,6,13,13.0,36
48,105,53,170,2,50.0,38
49,2,9,0,5,26.0,3
50,71,1544,0,1,46.0,59
51,3,642,4,32,12.0,40
52,293,8,0,154,51.0,55
53,104,1804,19,2245,24.0,54
54,3,85,1,0,16.0,56
55,11,41,35,11,33.0,6
56,0,3,0,0,,16
57,3,22,0,4,40.0,17
58,2,28,0,2,39.0,44
59,373,923,76,234,49.0,41
