num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.653231,0.126589,0.500000,0.000000
10,15,0.434824,0.316384,0.560000,0.380876
8,33,0.377768,0.244582,0.175758,0.578415
11,2,0.315359,0.109697,0.000000,0.800000
9,8,0.281102,0.118067,0.787500,0.033072
7,46,0.249253,0.220845,0.380435,0.497655
5,470,0.138579,0.199433,0.355745,0.456722
3,3358,0.134009,0.229810,0.301608,0.459966
6,235,0.125170,0.180420,0.214894,0.521201
2,6349,0.117386,0.239628,0.312947,0.461822
4,1557,0.104636,0.183215,0.270546,0.468577
1,13844,0.008886,0.022384,0.336914,0.507580
