num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.636156,0.137523,0.500000,0.000000
10,15,0.429738,0.318263,0.560000,0.380876
8,33,0.376665,0.242221,0.175758,0.578415
11,2,0.314988,0.126700,0.000000,0.800000
9,8,0.302013,0.123278,0.787500,0.033072
7,46,0.250142,0.222123,0.380435,0.497655
5,470,0.138301,0.199377,0.355745,0.456722
3,3358,0.134157,0.229600,0.301608,0.459966
6,235,0.124728,0.180759,0.214894,0.521201
2,6349,0.117675,0.239706,0.312947,0.461822
4,1557,0.104528,0.182966,0.270546,0.468577
1,13844,0.008928,0.022475,0.336914,0.507580
