cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,89,1,20,38.0,32
1,6,470,4,45,3.0,37
2,344,1148,6,67,46.0,41
3,1,12,1,10,13.0,28
4,111,1809,4,1446,40.0,57
5,1,9,1,2,28.0,4
6,4,385,53,142,27.0,43
7,1,9,0,4,9.0,26
8,0,11,0,1,,13
9,129,114,3,47,44.0,30
10,15,778,165,816,41.0,51
11,0,9,0,2,,24
12,0,4,0,2,,21
13,1,14,11,2,20.0,8
14,3,23,0,10,35.0,12
15,5,485,3,38,25.0,47
16,1,57,1,34,18.0,33
17,19,1032,29,295,21.0,49
18,0,15,0,1,,27
19,2,7,0,10,31.0,18
20,2,25,0,9,12.0,19
21,1,7,0,6,36.0,7
22,3,260,2,12,6.0,52
23,3,92,0,28,34.0,40
24,0,87,1,8,33.0,36
25,3,22,3,3,23.0,2
26,3,11,3,0,10.0,16
27,0,38,0,1,,31
28,0,33,0,7,,17
29,3,171,1,29,4.0,25
30,4,4,0,5,30.0,23
31,1,17,2,1,26.0,15
32,207,389,12,280,42.0,45
33,3,144,0,8,32.0,29
34,29,2284,27,205,14.0,53
35,0,22,0,0,,58
36,2,22,4,4,7.0,9
37,1,397,2,10,15.0,50
38,38,38,4,9,29.0,5
39,711,12,1,0,48.0,22
40,5,289,7,5,19.0,48
41,0,4,0,0,,1
42,0,34,0,66,,34
43,4,7,4,3,11.0,10
44,0,10,0,3,,56
45,2,8,1,0,5.0,11
46,2,60,2,2,2.0,44
47,4,88,1,13,8.0,35
48,104,54,170,2,47.0,38
49,2,10,0,5,24.0,3
50,71,1542,0,2,43.0,60
51,1,650,1,32,1.0,39
52,0,7,0,447,,59
53,100,1798,16,2251,22.0,54
54,3,85,1,0,16.0,55
55,7,44,30,10,39.0,6
56,0,4,0,0,,20
57,3,22,0,4,37.0,14
58,2,27,1,2,17.0,46
59,372,1003,3,233,45.0,42
