ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860843,0.196797,0.200000,0.326599,2.582530,0.860207
APH,2,0.822600,0.177400,0.400000,0.300000,1.645200,0.822195
TROW,8,0.818306,0.243922,0.400000,0.287228,6.546448,0.816694
GL,5,0.800000,0.244971,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.771218,0.230977,0.425000,0.129904,3.084874,0.770459
ROP,2,0.764379,0.235621,0.200000,0.700000,1.528758,0.764003
ZBRA,3,0.761314,0.168929,0.733333,0.047140,2.283943,0.760752
AZO,3,0.754208,0.174556,0.000000,0.355903,2.262625,0.753651
MKTX,7,0.753585,0.225996,0.257143,0.159079,5.275092,0.752286
LOW,6,0.742291,0.223721,0.200000,0.374166,4.453747,0.741194
AKAM,17,0.739662,0.249112,0.276471,0.338734,12.574261,0.736566
MSI,2,0.706127,0.043270,-0.050000,0.650000,1.412253,0.705779
PRU,13,0.702146,0.201413,0.415385,0.367625,9.127895,0.699898
KMX,3,0.696809,0.214390,-0.433333,0.659966,2.090426,0.696294
INTU,19,0.685858,0.232440,0.207895,0.478557,13.031294,0.682649
IT,15,0.665863,0.279792,0.073333,0.490533,9.987941,0.663403
ORLY,2,0.630481,0.108557,0.300000,0.200000,1.260962,0.630171
TJX,6,0.623173,0.302646,0.333333,0.402768,3.739038,0.622252
TPR,4,0.619460,0.124303,0.550000,0.229129,2.477841,0.618850
FI,3,0.602588,0.285317,0.066667,0.188562,1.807763,0.602143
ADSK,18,0.599999,0.262658,0.338889,0.521897,10.799974,0.597339
STX,4,0.568224,0.268900,0.450000,0.229129,2.272895,0.567664
BKNG,32,0.566401,0.336984,0.315625,0.481605,18.124825,0.561938
MCO,17,0.565467,0.261011,0.405882,0.363756,9.612937,0.563100
NTAP,11,0.555981,0.274817,0.490909,0.435795,6.115792,0.554475
POOL,2,0.539162,0.006666,0.800000,0.000000,1.078325,0.538897
ANSS,16,0.529037,0.350792,0.593750,0.349050,8.464594,0.526953
SPGI,7,0.516416,0.219069,0.471429,0.376883,3.614909,0.515525
