cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,87,0,17,26.0,33
1,6,466,4,46,5.0,37
2,4,1188,1,408,4.0,44
3,1,11,1,9,12.0,29
4,112,1836,7,1448,37.0,58
5,0,9,0,3,,4
6,4,358,46,142,33.0,40
7,0,7,0,5,,20
8,0,10,0,1,,11
9,125,112,1,47,41.0,30
10,13,786,162,817,35.0,51
11,0,9,0,2,,28
12,0,5,0,3,,27
13,1,16,9,2,21.0,9
14,3,26,0,10,29.0,15
15,4,487,0,38,20.0,46
16,0,57,1,34,11.0,34
17,13,1088,6,307,17.0,48
18,0,41,0,1,,52
19,2,9,0,10,27.0,21
20,2,22,0,10,10.0,19
21,1,7,0,6,32.0,7
22,1,263,1,15,14.0,49
23,1,46,0,28,31.0,24
24,0,86,0,7,,36
25,3,24,1,4,22.0,2
26,3,11,0,0,15.0,6
27,0,38,0,1,,32
28,0,34,0,6,,18
29,2,164,1,31,7.0,26
30,5,4,0,5,25.0,25
31,0,18,1,3,23.0,17
32,202,381,8,281,38.0,45
33,2,144,0,7,28.0,31
34,21,2301,8,213,13.0,53
35,0,2,0,0,,8
36,2,23,1,4,2.0,10
37,1,401,2,10,16.0,50
38,4,44,1,43,8.0,16
39,711,11,1,0,42.0,23
40,5,293,2,5,19.0,47
41,0,4,0,0,,1
42,0,35,0,66,,35
43,0,10,0,6,,5
44,0,10,0,3,,57
45,2,9,1,0,6.0,13
46,1,59,0,2,1.0,42
47,4,89,2,14,9.0,38
48,104,226,0,2,36.0,56
49,1,10,0,6,43.0,3
50,70,1541,0,2,39.0,60
51,1,649,1,31,3.0,39
52,0,6,0,447,,59
53,103,1799,6,2258,24.0,54
54,3,86,0,0,18.0,55
55,6,66,29,10,34.0,12
56,0,4,0,0,,22
57,3,22,0,3,30.0,14
58,0,29,0,3,,43
59,368,998,1,235,40.0,41
