num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.637948,0.131838,0.500000,0.000000
10,15,0.428598,0.319665,0.560000,0.380876
8,33,0.383386,0.238172,0.175758,0.578415
11,2,0.311693,0.115795,0.000000,0.800000
9,8,0.290473,0.120164,0.787500,0.033072
7,46,0.252244,0.222598,0.380435,0.497655
5,470,0.137997,0.200179,0.355745,0.456722
3,3358,0.134217,0.229953,0.301608,0.459966
6,235,0.124329,0.180358,0.214894,0.521201
2,6349,0.117677,0.239937,0.312947,0.461822
4,1557,0.104248,0.182299,0.270546,0.468577
1,13844,0.008977,0.022601,0.336914,0.507580
