num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.645434,0.128829,0.500000,0.000000
10,15,0.425667,0.317915,0.560000,0.380876
8,33,0.374419,0.241873,0.175758,0.578415
11,2,0.314958,0.120928,0.000000,0.800000
9,8,0.299620,0.129052,0.787500,0.033072
7,46,0.250328,0.220496,0.380435,0.497655
5,470,0.138730,0.199883,0.355745,0.456722
3,3358,0.134373,0.229897,0.301608,0.459966
6,235,0.125113,0.181000,0.214894,0.521201
2,6349,0.117387,0.239846,0.312947,0.461822
4,1557,0.104320,0.182536,0.270546,0.468577
1,13844,0.008921,0.022498,0.336914,0.507580
