ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.861565,0.195777,0.200000,0.326599,2.584694,0.860928
TROW,8,0.820461,0.244170,0.400000,0.287228,6.563688,0.818845
APH,2,0.808604,0.191396,0.400000,0.300000,1.617207,0.808205
GL,5,0.800000,0.245187,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.778627,0.223137,0.425000,0.129904,3.114507,0.777860
ZBRA,3,0.768928,0.163679,0.733333,0.047140,2.306784,0.768360
ROP,2,0.768887,0.231113,0.200000,0.700000,1.537774,0.768508
MKTX,7,0.756690,0.227321,0.257143,0.159079,5.296827,0.755385
LOW,6,0.752085,0.217942,0.200000,0.374166,4.512511,0.750974
AKAM,17,0.737999,0.251914,0.276471,0.338734,12.545980,0.734909
AZO,3,0.725877,0.194686,0.000000,0.355903,2.177630,0.725340
MSI,2,0.718459,0.028985,-0.050000,0.650000,1.436918,0.718105
KMX,3,0.702796,0.210155,-0.433333,0.659966,2.108387,0.702276
PRU,13,0.702414,0.201893,0.415385,0.367625,9.131384,0.700166
INTU,19,0.685390,0.234394,0.207895,0.478557,13.022414,0.682184
IT,15,0.664077,0.280935,0.073333,0.490533,9.961151,0.661624
ORLY,2,0.632459,0.102623,0.300000,0.200000,1.264918,0.632147
TJX,6,0.622514,0.303134,0.333333,0.402768,3.735082,0.621594
TPR,4,0.617211,0.120098,0.550000,0.229129,2.468845,0.616603
FI,3,0.609354,0.293883,0.066667,0.188562,1.828063,0.608904
ADSK,18,0.599664,0.261770,0.338889,0.521897,10.793954,0.597006
STX,4,0.578801,0.262752,0.450000,0.229129,2.315204,0.578231
BKNG,32,0.565377,0.335863,0.315625,0.481605,18.092078,0.560922
MCO,17,0.564514,0.262126,0.405882,0.363756,9.596730,0.562150
POOL,2,0.539874,0.001038,0.800000,0.000000,1.079748,0.539608
NTAP,11,0.537385,0.291360,0.490909,0.435795,5.911236,0.535930
ANSS,16,0.533111,0.345186,0.593750,0.349050,8.529772,0.531010
SPGI,7,0.514809,0.218932,0.471429,0.376883,3.603662,0.513922
