cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,3,85,4,13,24.0,33
1,9,545,6,43,6.0,38
2,368,1134,14,45,47.0,43
3,2,12,1,10,22.0,27
4,1283,1873,8,280,53.0,54
5,1,10,1,2,33.0,5
6,4,363,52,139,30.0,42
7,2,9,0,3,8.0,28
8,0,11,0,1,,16
9,131,109,6,45,50.0,30
10,456,774,165,371,51.0,44
11,1,9,0,1,1.0,32
12,2,4,0,1,27.0,23
13,3,12,8,0,12.0,15
14,4,24,1,9,36.0,11
15,8,482,3,30,16.0,47
16,2,55,2,32,17.0,34
17,27,988,40,295,23.0,48
18,0,17,0,1,,31
19,2,6,2,9,21.0,22
20,4,24,1,7,20.0,21
21,1,8,0,6,39.0,10
22,4,260,6,12,10.0,51
23,2,91,1,26,37.0,37
24,1,85,1,6,25.0,35
25,4,23,3,3,29.0,2
26,3,9,4,0,13.0,14
27,0,16,0,1,,9
28,1,32,0,5,44.0,18
29,12,144,9,20,11.0,26
30,5,3,0,5,38.0,25
31,1,18,3,1,31.0,17
32,214,375,12,269,46.0,46
33,4,142,1,6,34.0,29
34,114,2230,25,124,26.0,53
35,0,1,1,0,2.0,60
36,2,19,3,3,5.0,7
37,5,361,39,9,45.0,50
38,38,42,4,8,35.0,8
39,711,11,1,0,55.0,24
40,6,293,2,4,18.0,49
41,0,4,0,0,,1
42,2,49,2,64,9.0,41
43,6,4,6,1,14.0,4
44,0,10,0,3,,58
45,2,9,1,0,3.0,12
46,3,60,3,1,4.0,45
47,4,33,59,13,42.0,19
48,104,53,171,2,52.0,36
49,5,10,0,2,15.0,3
50,72,1545,1,1,49.0,59
51,5,636,5,28,7.0,39
52,293,7,0,154,54.0,56
53,122,1743,68,2232,28.0,55
54,3,85,1,0,19.0,57
55,12,30,64,5,32.0,6
56,0,4,1,0,41.0,20
57,3,21,1,3,40.0,13
58,2,55,0,2,43.0,52
59,380,925,78,224,48.0,40
