num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.634804,0.135096,0.500000,0.000000
10,15,0.425062,0.318892,0.560000,0.380876
8,33,0.384344,0.236724,0.175758,0.578415
11,2,0.308685,0.119390,0.000000,0.800000
9,8,0.290847,0.115926,0.787500,0.033072
7,46,0.247925,0.217156,0.380435,0.497655
5,470,0.137744,0.198762,0.355745,0.456722
3,3358,0.133719,0.229491,0.301608,0.459966
6,235,0.124883,0.180846,0.214894,0.521201
2,6349,0.118167,0.239983,0.312947,0.461822
4,1557,0.104327,0.182454,0.270546,0.468577
1,13844,0.009021,0.022721,0.336914,0.507580
