cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,82,0,12,37.0,26
1,8,468,6,44,8.0,33
2,368,1141,11,44,48.0,42
3,2,12,1,8,21.0,25
4,1279,1808,19,280,53.0,54
5,1,10,1,2,30.0,4
6,119,356,50,24,45.0,34
7,2,9,0,3,12.0,30
8,0,9,0,1,,10
9,133,108,5,44,51.0,29
10,24,649,294,805,42.0,51
11,0,10,0,2,,20
12,2,5,0,1,28.0,23
13,3,12,8,0,15.0,11
14,4,25,0,9,35.0,14
15,7,477,1,31,23.0,46
16,3,52,4,32,5.0,38
17,29,1057,32,293,25.0,49
18,0,16,0,1,,27
19,3,8,0,9,40.0,18
20,4,27,0,7,17.0,21
21,1,8,0,6,44.0,8
22,3,263,4,13,7.0,50
23,3,93,1,25,36.0,39
24,3,86,1,8,29.0,32
25,3,22,4,3,18.0,2
26,3,9,3,0,13.0,15
27,1,38,0,0,1.0,31
28,4,32,0,4,22.0,19
29,9,170,4,22,10.0,24
30,5,3,0,5,39.0,22
31,1,17,3,1,31.0,16
32,212,376,10,269,47.0,45
33,4,142,0,6,32.0,28
34,111,2294,16,124,27.0,52
35,0,1,1,0,4.0,60
36,2,20,4,4,11.0,7
37,3,313,91,8,46.0,47
38,40,47,2,8,34.0,5
39,711,10,2,0,55.0,43
40,6,292,2,4,19.0,48
41,0,4,0,0,,1
42,2,30,1,64,9.0,36
43,4,5,4,3,14.0,9
44,0,10,0,3,,58
45,2,8,1,0,6.0,12
46,2,58,2,1,2.0,44
47,5,86,5,13,16.0,35
48,106,52,172,1,52.0,37
49,3,10,0,4,26.0,3
50,72,1542,0,1,50.0,59
51,6,641,3,28,3.0,40
52,293,6,0,154,54.0,56
53,124,1814,12,2233,24.0,55
54,3,85,1,0,20.0,57
55,10,41,53,5,38.0,6
56,0,3,1,0,33.0,17
57,4,19,0,3,43.0,13
58,3,56,0,2,41.0,53
59,376,995,5,228,49.0,41
